#
# http://www.portaldalinguaportuguesa.org/index.php?action=gentilicos&act=list
#
# toponym;type;demonym:pos;holonym
# toponym (language variant);type;demonym:pos;holonym (country)
#
Andes;região;andino:ADJ;Europa
Andes;região;andino:N;Europa
Andorra;país;andorrano:ADJ;Europa
Andorra;país;andorrano:N;Europa
Andorra;país;andorrense:ADJ;Europa
Andorra;país;andorrense:N;Europa
Andorra;país;andorriano:ADJ;Europa
Andorra;país;andorriano:N;Europa
Angola;país;angolano:ADJ;África
Angola;país;angolano:N;África
Angola;país;angolense:ADJ;África
Angola;país;angolense:N;África
Angra do Heroísmo;cidade;angrense:ADJ;Açores (Terceira) (Portugal)
Angra do Heroísmo;cidade;angrense:N;Açores (Terceira) (Portugal)
Angra dos Reis;cidade;angrense:ADJ;Rio de Janeiro (Brasil)
Angra dos Reis;cidade;angrense:N;Rio de Janeiro (Brasil)
Anguila;arquipélago;anguilano:ADJ;América
Anguila;arquipélago;anguilano:N;América
Ansião;vila;ansianense:ADJ;Leiria (Portugal)
Ansião;vila;ansianense:N;Leiria (Portugal)
Antígua e Barbuda;país;antiguano:ADJ;América
Antígua e Barbuda;país;antiguano:N;América
Antilhas Neerlandesas;arquipélago;antilhano:ADJ;América
Antilhas Neerlandesas;arquipélago;antilhano:N;América
Antioquia;região;antioqueno:ADJ;Colômbia
Antioquia;região;antioqueno:N;Colômbia
Antioquia;região;antioquense:ADJ;Colômbia
Antioquia;região;antioquense:N;Colômbia
Antioquia;região;antioquiano:ADJ;Colômbia
Antioquia;região;antioquiano:N;Colômbia
Antofagasta;cidade;antofagastense:ADJ;Chile
Antofagasta;cidade;antofagastense:N;Chile
Antuérpia;cidade;antuerpiano:ADJ;Bélgica
Antuérpia;cidade;antuerpiano:N;Bélgica
Aparecida;cidade;aparecidense:ADJ;São Paulo (Brasil)
Aparecida;cidade;aparecidense:N;São Paulo (Brasil)
Aparecida d'Oeste;cidade;aparecidense:ADJ;São Paulo (Brasil)
Aparecida d'Oeste;cidade;aparecidense:N;São Paulo (Brasil)
Apúlia;região;apuliano:ADJ;Itália
Apúlia;região;apuliano:N;Itália
Apúlia;região;apuliense:ADJ;Itália
Apúlia;região;apuliense:N;Itália
Aquitânia;região;aquitanense:ADJ;França
Aquitânia;região;aquitanense:N;França
Aquitânia;região;aquitano:ADJ;França
Aquitânia;região;aquitano:N;França
Arábia Saudita;país;árabe-saudita:ADJ;Ásia
Arábia Saudita;país;árabe-saudita:N;Ásia
Arábia Saudita;país;arábio:ADJ;Ásia
Arábia Saudita;país;arábio:N;Ásia
Arábia Saudita;país;saudi-arábico:ADJ;Ásia
Arábia Saudita;país;saudi-arábico:N;Ásia
Arábia Saudita;país;saudita:ADJ;Ásia
Arábia Saudita;país;saudita:N;Ásia
Aracaju;cidade;aracajuano:ADJ;Sergipe (Brasil)
Aracaju;cidade;aracajuano:N;Sergipe (Brasil)
Aracaju;cidade;aracajuense:ADJ;Sergipe (Brasil)
Aracaju;cidade;aracajuense:N;Sergipe (Brasil)
Aragão;região;aragonês:ADJ;Espanha
Aragão;região;aragonês:N;Espanha
Araucária;cidade;araucariense:ADJ;Paraná (Brasil)
Araucária;cidade;araucariense:N;Paraná (Brasil)
Arcos de Valdevez;vila;arcoense:ADJ;Viana do Castelo (Portugal)
Arcos de Valdevez;vila;arcoense:N;Viana do Castelo (Portugal)
Arcos de Valdevez;vila;arcuense:ADJ;Viana do Castelo (Portugal)
Arcos de Valdevez;vila;arcuense:N;Viana do Castelo (Portugal)
Arcos de Valdevez;vila;arquense:ADJ;Viana do Castelo (Portugal)
Arcos de Valdevez;vila;arquense:N;Viana do Castelo (Portugal)
Arezzo;cidade;aretino:ADJ;Itália
Arezzo;cidade;aretino:N;Itália
Arganil;vila;arganilense:ADJ;Coimbra (Portugal)
